id,user_id,bank,account_number,transaction_type,amount,date,merchant,upi_reference,balance,category,created_at,parsed_date,day_of_week,day_name,day,month,year,quarter,week_of_year,is_weekend,days_in_month,days_until_month_end,log_amount,amount_vs_avg_ratio,rolling_7d_avg,rolling_7d_sum,rolling_30d_avg,rolling_30d_sum,spending_velocity,days_since_last_txn,merchant_frequency,merchant_diversity,repeat_merchant,category_frequency,category_concentration,signed_amount,cumulative_cash_flow,total_user_income,total_user_expense,net_cash_flow,savings_rate,expense_ratio,transaction_type_encoded,bank_encoded,category_encoded
1,1,CanaraBank,XXX123,Debit,500.0,01/07/26,Zomato,,4200.0,Food,2026-07-27 03:40:06.419503,2026-07-01,2,Wednesday,1,7,2026,3,27,0,31,30,6.2166061010848646,0.32679738562091504,500.0,500.0,500.0,500.0,0.0,0.0,0.16666666666666666,10.0,0.0,0.3333333333333333,0.22222222222222224,-500.0,-500.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,1
2,1,CanaraBank,XXX123,Debit,1200.0,03/07/26,Amazon,,3000.0,Shopping,2026-07-27 03:40:06.419508,2026-07-03,4,Friday,3,7,2026,3,27,0,31,28,7.0909098220799835,0.7843137254901961,850.0,1700.0,850.0,1700.0,0.0,2.0,0.16666666666666666,10.0,0.0,0.25,0.22222222222222224,-1200.0,-1700.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,4
3,1,CanaraBank,XXX123,Credit,45000.0,05/07/26,Employer,,48000.0,Salary,2026-07-27 03:40:06.419509,2026-07-05,6,Sunday,5,7,2026,3,27,1,31,26,10.714439990727769,29.41176470588235,566.67,1700.0,566.67,1700.0,0.0,2.0,0.08333333333333333,10.0,0.0,0.08333333333333333,0.22222222222222224,45000.0,43300.0,50000.0,15300.0,34700.0,0.694,0.306,0,0,3
4,1,CanaraBank,XXX123,Debit,300.0,07/07/26,Swiggy,,47700.0,Food,2026-07-27 03:40:06.419509,2026-07-07,1,Tuesday,7,7,2026,3,28,0,31,24,5.707110264748875,0.19607843137254902,500.0,2000.0,500.0,2000.0,0.0,2.0,0.08333333333333333,10.0,0.0,0.3333333333333333,0.22222222222222224,-300.0,43000.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,1
5,1,CanaraBank,XXX123,Debit,2000.0,10/07/26,PhonePe,,45700.0,Bills,2026-07-27 03:40:06.419510,2026-07-10,4,Friday,10,7,2026,3,28,0,31,21,7.601402334583733,1.3071895424836601,800.0,4000.0,800.0,4000.0,0.0,3.0,0.08333333333333333,10.0,0.0,0.16666666666666666,0.22222222222222224,-2000.0,41000.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,0
6,1,CanaraBank,XXX123,Debit,800.0,12/07/26,BigBasket,,44900.0,Food,2026-07-27 03:40:06.419510,2026-07-12,6,Sunday,12,7,2026,3,28,1,31,19,6.68586094706836,0.5228758169934641,800.0,4800.0,800.0,4800.0,0.0,2.0,0.08333333333333333,10.0,0.0,0.3333333333333333,0.22222222222222224,-800.0,40200.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,1
7,1,CanaraBank,XXX123,Debit,5000.0,15/07/26,Flipkart,,39900.0,Shopping,2026-07-27 03:40:06.419511,2026-07-15,2,Wednesday,15,7,2026,3,29,0,31,16,8.517393171418904,3.2679738562091503,1400.0,9800.0,1400.0,9800.0,0.0,3.0,0.08333333333333333,10.0,0.0,0.25,0.22222222222222224,-5000.0,35200.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,4
8,1,CanaraBank,XXX123,Debit,400.0,18/07/26,Uber,,39500.0,Travel,2026-07-27 03:40:06.419511,2026-07-18,5,Saturday,18,7,2026,3,29,1,31,13,5.993961427306569,0.26143790849673204,1385.71,9700.0,1275.0,10200.0,0.0868,3.0,0.08333333333333333,10.0,0.0,0.08333333333333333,0.22222222222222224,-400.0,34800.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,5
9,1,CanaraBank,XXX123,Debit,1500.0,20/07/26,Electricity,,38000.0,Bills,2026-07-27 03:40:06.419512,2026-07-20,0,Monday,20,7,2026,3,30,0,31,11,7.313886831633462,0.9803921568627451,1428.57,10000.0,1300.0,11700.0,0.0989,2.0,0.08333333333333333,10.0,0.0,0.16666666666666666,0.22222222222222224,-1500.0,33300.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,0
10,1,CanaraBank,XXX123,Debit,600.0,22/07/26,Zomato,,37400.0,Food,2026-07-27 03:40:06.419512,2026-07-22,2,Wednesday,22,7,2026,3,30,0,31,9,6.398594934535208,0.39215686274509803,1514.29,10600.0,1230.0,12300.0,0.2311,2.0,0.16666666666666666,10.0,1.0,0.3333333333333333,0.22222222222222224,-600.0,32700.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,1
11,1,CanaraBank,XXX123,Debit,3000.0,24/07/26,Amazon,,34400.0,Shopping,2026-07-27 03:40:06.419512,2026-07-24,4,Friday,24,7,2026,3,30,0,31,7,8.006700845440367,1.9607843137254901,1900.0,13300.0,1390.91,15300.0,0.366,2.0,0.16666666666666666,10.0,1.0,0.25,0.22222222222222224,-3000.0,29700.0,50000.0,15300.0,34700.0,0.694,0.306,1,0,4
12,1,CanaraBank,XXX123,Credit,5000.0,25/07/26,Freelance,,39400.0,Others,2026-07-27 03:40:06.419513,2026-07-25,5,Saturday,25,7,2026,3,30,1,31,6,8.517393171418904,3.2679738562091503,1614.29,11300.0,1275.0,15300.0,0.2661,1.0,0.08333333333333333,10.0,0.0,0.08333333333333333,0.22222222222222224,5000.0,34700.0,50000.0,15300.0,34700.0,0.694,0.306,0,0,2
