id,user_id,bank,account_number,transaction_type,amount,date,merchant,upi_reference,balance,category,created_at
1,1,CanaraBank,XXX123,Debit,500.0,01/07/26,Zomato,,4200.0,Food,2026-07-27 03:40:06.419503
2,1,CanaraBank,XXX123,Debit,1200.0,03/07/26,Amazon,,3000.0,Shopping,2026-07-27 03:40:06.419508
3,1,CanaraBank,XXX123,Credit,45000.0,05/07/26,Employer,,48000.0,Salary,2026-07-27 03:40:06.419509
4,1,CanaraBank,XXX123,Debit,300.0,07/07/26,Swiggy,,47700.0,Food,2026-07-27 03:40:06.419509
5,1,CanaraBank,XXX123,Debit,2000.0,10/07/26,PhonePe,,45700.0,Bills,2026-07-27 03:40:06.419510
6,1,CanaraBank,XXX123,Debit,800.0,12/07/26,BigBasket,,44900.0,Food,2026-07-27 03:40:06.419510
7,1,CanaraBank,XXX123,Debit,5000.0,15/07/26,Flipkart,,39900.0,Shopping,2026-07-27 03:40:06.419511
8,1,CanaraBank,XXX123,Debit,400.0,18/07/26,Uber,,39500.0,Travel,2026-07-27 03:40:06.419511
9,1,CanaraBank,XXX123,Debit,1500.0,20/07/26,Electricity,,38000.0,Bills,2026-07-27 03:40:06.419512
10,1,CanaraBank,XXX123,Debit,600.0,22/07/26,Zomato,,37400.0,Food,2026-07-27 03:40:06.419512
11,1,CanaraBank,XXX123,Debit,3000.0,24/07/26,Amazon,,34400.0,Shopping,2026-07-27 03:40:06.419512
12,1,CanaraBank,XXX123,Credit,5000.0,25/07/26,Freelance,,39400.0,Others,2026-07-27 03:40:06.419513
